Horizont number: 0; Number of points: 0----------------------------------------
Horizont number: 1; Number of points: 2820----------------------------------------
0.445702;0.0685019;-0.984391
0.445702;0.0685019;-0.984391
0.445702;0.0685019;-0.984391
0.445702;0.0686019;-0.984373
0.445702;0.0686019;-0.984373
0.445702;0.0686019;-0.984373
0.445702;0.0687019;-0.984356
0.445702;0.0687019;-0.984356
0.445702;0.0687019;-0.984356
0.445702;0.0688019;-0.984338
0.445702;0.0688019;-0.984338
0.445702;0.0688019;-0.984338
0.445702;0.0689019;-0.98432
0.445702;0.0689019;-0.98432
0.445702;0.0689019;-0.98432
0.445702;0.0690019;-0.984303
0.445702;0.0690019;-0.984303
0.445702;0.0690019;-0.984303
0.445702;0.0691018;-0.984308
0.445702;0.0691018;-0.984308
0.445702;0.0691018;-0.984308
0.445702;0.0692018;-0.98429
0.445702;0.0692018;-0.98429
0.445702;0.0692018;-0.98429
0.445702;0.0693019;-0.984272
0.445702;0.0693019;-0.984272
0.445702;0.0693019;-0.984272
0.445702;0.0694019;-0.984254
0.445702;0.0694019;-0.984254
0.445702;0.0694019;-0.984254
0.445702;0.0695019;-0.984236
0.445702;0.0695019;-0.984236
0.445702;0.0695019;-0.984236
0.445702;0.0696019;-0.984218
0.445702;0.0696019;-0.984218
0.445702;0.0696019;-0.984218
0.445702;0.0697019;-0.9842
0.445702;0.0697019;-0.9842
0.445702;0.0697019;-0.9842
0.445702;0.0698019;-0.984182
0.445702;0.0698019;-0.984182
